password,strength
1234561,0
1234563,0
z*1C5Jau2RJt,2
1234565,0
Python@137,1
UyifDLkDmWJ6UuVTAI,2
science168,0
Sneha9135,1
secure,0
pooja906,0
machine439,0
Analytics2276,1
computer611,0
Pooja7678,1
IRoL3u6aH#w#nM#ztV,2
login,0
letmein,0
technology129,0
H^2B*zNZV4%5p,2
1234563,0
password,0
data32195,1
8F80ymm3T207gmhZ,2
science$153,1
admin123,0
rahul993,0
Rohit7896,1
secure,0
vikas87752,1
Computer@763,1
1234560,0
learning883,0
cloud635,0
%OHAOEHYqM6Ojb6m,2
login,0
1234564,0
MnrHontIKARA,2
amit!104,1
Python@799,1
monkey,0
machine566,0
ankit374,0
neha799,0
cloud184,0
python392,0
sneha359,0
secure,0
&QdoHwHen3SO3$o,2
neha34386,1
Rahul@952,1
learning,0
y1WwMZaMKA3P7,2
Prashant3511,1
Amit@848,1
qwerty123,0
rahul$516,1
technology907,0
developer256,0
1234567,0
5u85HFJ%!EJ4jKE,2
learning71798,1
vikas!434,1
ankit@862,1
Neha@399,1
technology71545,1
rahul#694,1
1234566,0
dk2r7xgHWPB6PRWJ1,2
Data@777,1
1234560,0
python578,0
database80415,1
science#599,1
Vikas@616,1
pfS&2Vi#Rb1!n3U6t3,2
developer794,0
Neha4407,1
Prashant4005,1
Learning@227,1
Developer9777,1
kE0!E8!5clLCZ,2
developer544,0
T6INGDpyOp&xyB,2
developer69765,1
analytics24519,1
python@663,1
vikas292,0
1234561,0
123456789,0
1C%W54M2NhmABHkuEw,2
ua058LeDKK6j,2
1234561,0
data,0
K4p7MZI#*@4kf3PGd,2
1234564,0
sneha532,0
!l8S0QPnuQ0@KZe,2
data!801,1
a*70gy%U@4gAIqK4!p,2
1234560,0
data15871,1
vikas#435,1
analytics73255,1
technology,0
neha@467,1
Learning@396,1
science,0
Vikas6256,1
analytics103,0
learning,0
pooja#882,1
Sneha@46,1
learning721,0
security,0
rahul33007,1
machine700,0
D7G6Gb7K*uj4S,2
2G6MzX9nEWTLLc,2
developer!942,1
Analytics@234,1
technology,0
ankit335,0
^#IvG9LRo7jsCY,2
lYbH&p6VHWVnD8,2
science664,0
Sneha6699,1
rohit@407,1
arjun@916,1
vikas418,0
Prashant@111,1
1234563,0
password123,0
BDQsaJsq*Gwod,2
password,0
admin123,0
prashant68271,1
%M6dh9Z2n!4j,2
1234569,0
PW^L6#3moB35D0R6Z,2
science56936,1
Data@105,1
developer338,0
Arjun@62,1
science@682,1
1234564,0
iloveyou,0
IdxINRSaxsZisdl^B,2
Rahul@171,1
kgtugkI42!41IB$o,2
Rahul@704,1
pooja614,0
ankit336,0
abc123,0
Python@480,1
Z1LoZcPv6Ul3nF3,2
^kYNRCQvj$o^$yS,2
sneha31968,1
learning78,0
Neha@707,1
1234564,0
letmein,0
machine!639,1
neha97851,1
Pooja7802,1
vikas67132,1
Prashant@634,1
Technology@705,1
1234564,0
learning,0
secure!327,1
Secure@671,1
ankit185,0
1234568,0
RqWtuxv4f0UE,2
pooja99617,1
Rohit@704,1
amit55874,1
Gg9Vn%pKkuI5$,2
iloveyou,0
Python6505,1
Analytics@963,1
database852,0
pooja11384,1
^2oKEMpgE16io@&c$,2
sL2aTE1xk^Ui^,2
#cX8fXVGcTiSEnQr,2
data851,0
prashant734,0
developer408,0
Python@375,1
science$771,1
Learning@718,1
machine,0
secure457,0
1234565,0
developer10835,1
123456789,0
cloud620,0
Database@597,1
learning33717,1
Amit@130,1
Computer4688,1
database,0
secure,0
pzrE@dUV7qliN,2
Vikas7852,1
prashant461,0
xq3#hp%tMvuPCS%Kk,2
Computer9034,1
vtvRfdkfHA1d@*LM9,2
database62,0
Rohit@358,1
technology49567,1
Science4392,1
Technology@995,1
Oyu@$7@N@clY#6EBT,2
machine,0
n3rHUZUfZgyU,2
jX#5JpqmYVRUsz,2
Z#fferQ8%6t$rPOu,2
Pooja@354,1
Cloud@699,1
1234569,0
developer645,0
python196,0
rahul@430,1
1234567,0
Learning@944,1
Pooja@990,1
science,0
database#134,1
Database2409,1
Prashant@500,1
IrnEFg^CDgm0Q8mra,2
089zKPKhlD&ew,2
Security@816,1
machine,0
sneha@881,1
Computer@176,1
neha810,0
Z2$PlZmxr9PFaHXE5I,2
Machine@596,1
secure,0
science981,0
1234567,0
1234567,0
data15707,1
learning211,0
analytics136,0
Neha955,1
developer!56,1
vikas!966,1
technology,0
Prashant@92,1
qwerty,0
developer435,0
admin,0
Pooja266,1
pooja!421,1
technology,0
neha592,0
Secure8550,1
w2@gSW^O10tMWx&8,2
admin,0
1^rXFGAQk5Vl&yg,2
technology80026,1
computer40739,1
amit713,0
KW7&TNHU$@7m8O,2
neha424,0
machine,0
machine854,0
RG!!6vTvr*!x*h^ej,2
password,0
machine654,0
Cloud118,1
J&Kc#3wnm^tEy^GTI,2
data54218,1
arjun!105,1
technology63390,1
1234561,0
admin,0
admin123,0
database,0
computer,0
Secure1294,1
Analytics@629,1
security567,0
user123,0
technology650,0
Database@15,1
science$469,1
developer,0
cloud55238,1
vWvrIMI@siv3J1M9,2
1234567,0
6nrMaYQWQ4Q3r,2
learning92133,1
learning97321,1
technology52502,1
xd7A4Li0@rMEGt2W,2
computer548,0
U&knFTvfZQ3n,2
1234568,0
5VY7#tSd9nL1k,2
1234563,0
Database7811,1
Python1895,1
data339,0
analytics@665,1
Cloud3242,1
1234561,0
security,0
Amit5144,1
Database7511,1
prashant245,0
1rX2x!&wv!KrxO5,2
Tb!ryX#@0!14,2
Security1364,1
analytics$589,1
ooI*U*f4*B2nFMe5,2
database58549,1
neha882,0
AAhS&J&vPLLI$,2
pooja941,0
technology864,0
user123,0
amit#475,1
Neha@105,1
computer,0
Learning@143,1
prashant642,0
Prashant@217,1
prashant671,0
abc123,0
1234563,0
cloud!890,1
dragon,0
database18973,1
machine,0
123456789,0
database,0
1234569,0
dMA%$yYLgE@XoE,2
Sneha@550,1
developer700,0
password,0
amit$443,1
login,0
t&PYiN3EhFl3o,2
Pooja9985,1
rohit509,0
Secure4413,1
Rahul4466,1
prashant48202,1
Security4189,1
amit48,0
security,0
neha123,0
computer,0
learning73494,1
Neha@647,1
z*Fta0dD*SbQaWN,2
arjun244,0
Data@928,1
data@662,1
vikas64,0
developer#335,1
Analytics1233,1
sneha322,0
machine35735,1
Vikas9894,1
pooja526,0
developer256,0
prashant13,0
Database1386,1
123456,0
science@956,1
Rohit@709,1
1234569,0
L@09hlJXr1z^F,2
